id,slug,url,action,field_names,labels_and_prompts,used_on_pages
956,contact,https://www.roadsafe.co.za/metform-form/contact/,https://www.roadsafe.co.za/wp-json/metform/v1/entries/insert/956,mf-first-name | company | mf-email | phone | mf-comment,Full Name | Company Name | Email Address | Add email | Phone Number | Telephone | Comments / Questions | Add text | Send Message,https://www.roadsafe.co.za/contact-us/ | https://www.roadsafe.co.za/
985,email,https://www.roadsafe.co.za/metform-form/email/,https://www.roadsafe.co.za/wp-json/metform/v1/entries/insert/985,mf-email,Email | Subscribe,""
1030,fulll-get-a-quote,https://www.roadsafe.co.za/metform-form/fulll-get-a-quote/,https://www.roadsafe.co.za/wp-json/metform/v1/entries/insert/1030,company | mf-email | mf-telephone | mf-textarea,Company Name | Email | Telephone | This Is Optional | What would you like to be quoted on? | List products & quantities along with any comments. Please state whether you want to rent or purchase. | Submit Button,https://www.roadsafe.co.za/get-a-quote/
895,quote,https://www.roadsafe.co.za/metform-form/quote/,https://www.roadsafe.co.za/wp-json/metform/v1/entries/insert/895,full-name | company-name | mf-email,Full Name | Company | Email | Submit,https://www.roadsafe.co.za/
